"Code","Mean","SD"
"PE1",3.63636363636364,0.548758930347711
"PE2",3.51351351351351,0.506711709709532
"PE3",3.46875,0.621360370217975
"SI1",3.45238095238095,0.632547345278267
"SI2",3.76923076923077,0.426832794918354
"SI3",3.61764705882353,0.493270218056382
"FC1",3.46153846153846,0.60026984485286
"FC2",3.38461538461538,0.633095345583262
"FC3",3.56818181818182,0.545498588778567
"FC4",3.45454545454545,0.5888319322162
"EE1",3.60526315789474,0.547202896517668
"EE2",3.56410256410256,0.552261941800875
"EE3",3.47058823529412,0.706476280141699
